Count,NAME,CODE,UPDATE_CYCLE,Error_Check,LAST_UPDATE,,,안한거,
1,"국내 총생산(GDP), ",I05Y004/KOR,QQ,,20162,,,경기동행지수,
2,"산업생산지수, ",I05Y001/KOR,MM,,201608,,,경기선행지수,
3,기업경기실사지수,041Y013/99988/AA,MM,,201608,,,인플레이션 상승률:,
4,소비자 물가지수,I02Y002/KOR,MM,,201608,,,경기동행지수순환치,
5,"인플레이션, ",901Y001/AI1BC,,,,,,도소매판매액지수,
,"실업률, ",I05Y002/KOR,,,,,,무역지수,
,"경상 및 무역수지,",I03Y003/KOR,,,,,,도매물가지수,
,경제성장률:,I05Y003/KOR,,,,,,추계인구,통계코드는 있으나 데이터가 없음
,건축허가면적,080Y118/1,,,,,,,
,기계수주액,080Y015/I351,,,,,,,
,소매판매액지수,085Y074/I74A,,,,,,,
,수출액,099Y001/A,,,,,,,
,수입액,099Y003/A,,,,,,,
,원유가격상승률,901Y001/AI1BG,,,,,,,
,제조업 임금지수,080Y126/I72AB/I72BI,,,,,,,
,신용스프레드->미국재무부5년금리,I01Y005/TN5USA,,,,신용스프레드=무위험이자율+신용위험,,,
,신용스프레드->차주가중종합지수신용위험,093Y002/BB,,,,무위험이자율=미국5년만기국채수익률,,,
,노동생산성지수,085Y162/A,,,,미국5년만기국채수익률은 미국5년국채금리로 계산,,,
,고용률,080Y034/I61E,,,,,,,
,경제활동참가율,080Y034/I61D,,,,,,,
,단위노동비용지수,085Y063/A70A,,,,,,,
,지니계수,080Y038/I38A/I38A,,,,,,,
,가계대출,008Y002/1110000,,,,,,,
,가계판매신용대금,008Y001/1000000,,,,,,,
,산업별 서비스업생산지수,080Y119/I51A/1,,,,가계신용(분기별)로 대체,,,
,총저축률,I05Y007/KOR,,,,경상지수,,,
,제조업 재고율지수,080Y033/I33A,,,,,,,
,외환보유액,I04Y001/KOR,,,,,,,
